nom_pkmn,nom_pkmn_us,num_pokedex,url_image,url_cri,type_1,type_2,taille_m,poids_kg,talent_1,talent_2,talent_cache,sexe,taux_de_capture,cycle_eclosion,groupe_oeuf_1,groupe_oeuf_2,points_effort,points_exp,exp_niv100,pv,attaque,attaque_speciale,defense,defense_speciale,vitesse
Grillepattes,Sizzlipede,0850,/images/thumb/a/a7/Grillepattes-EB.png/250px-Grillepattes-EB.png,/images/4/4a/Cri_0850_HOME.ogg,Feu,Insecte,"0,7","1,0",Torche,Écran Fumée,Corps Ardent,50 % femelle; 50 % mâle,190,20,Insectoïde,,+1 Attaque,61 exp.,1 000 000 exp.,50,65,45,45,50,45
Salarsen Gigamax,Gigantamax Toxtricity,0849,/images/thumb/1/16/Salarsen_%28Gigamax%29-EB.png/250px-Salarsen_%28Gigamax%29-EB.png,/images/7/77/Cri_0849_Gigamax_HOME.ogg,Électrik,Poison,"24,0","???,?",,,,50 % femelle; 50 % mâle,,,,,,,,,,,,,
Salarsen,Toxtricity,0849,/images/thumb/a/ad/Salarsen_%28Forme_Aig%C3%BCe%29-EB.png/250px-Salarsen_%28Forme_Aig%C3%BCe%29-EB.png,/images/f/f1/Cri_0849_Aig%C3%BCe_HOME.ogg,Électrik,Poison,"1,6","40,0",,,,50 % femelle; 50 % mâle,45,25,Humanoïde,,+2 Att. Spé,176 exp.,1 059 860 exp.,75,98,70,70,70,75
Toxizap,Toxel,0848,/images/thumb/7/7d/Toxizap-EB.png/250px-Toxizap-EB.png,/images/4/4b/Cri_0848_HOME.ogg,Électrik,Poison,"0,4","11,0",Phobique,Statik,Maladresse,50 % femelle; 50 % mâle,75,25,Inconnu,,+1 Att. Spé.,48 exp.,1 059 860 exp.,40,38,35,35,35,40
Hastacuda,Barraskewda,0847,/images/thumb/8/8e/Hastacuda-EB.png/250px-Hastacuda-EB.png,/images/4/49/Cri_0847_HOME.ogg,Eau,,"1,3","30,0",Glissade,,Propulseur,50 % femelle; 50 % mâle,60,20,Aquatique 2,,+2 Vit.,172 exp.,1 250 000 exp.,61,123,60,60,50,136
Embrochet,Arrokuda,0846,/images/thumb/2/20/Embrochet-EB.png/250px-Embrochet-EB.png,/images/5/54/Cri_0846_HOME.ogg,Eau,,"0,5","1,0",Glissade,,Propulseur,50 % femelle; 50 % mâle,255,20,Aquatique 2,,+1 Vit.,56 exp.,1 250 000 exp.,41,63,40,40,30,66
Nigosier,Cramorant,0845,/images/thumb/1/13/Nigosier-EB.png/250px-Nigosier-EB.png,/images/e/e9/Cri_0845_HOME.ogg,Vol,Eau,"0,8","18,0",Dégobage,,,50 % femelle; 50 % mâle,45,20,Aquatique 1,Aérien,+2 Déf. Spé.,166 exp.,1 000 000 exp.,70,85,55,55,95,85
Dunaconda Gigamax,Gigantamax Sandaconda,0844,/images/thumb/3/39/Dunaconda_%28Gigamax%29-EB.png/250px-Dunaconda_%28Gigamax%29-EB.png,/images/b/b1/Cri_0844_Gigamax_HOME.ogg,Sol,,"22,0","???,?",Expul'Sable,Mue,Voile Sable,50 % femelle; 50 % mâle,,,,,,,,,,,,,
Dunaconda,Sandaconda,0844,/images/thumb/6/67/Dunaconda-EB.png/250px-Dunaconda-EB.png,/images/5/55/Cri_0844_HOME.ogg,Sol,,"3,8","65,5",Expul'Sable,Mue,Voile Sable,50 % femelle; 50 % mâle,120,20,Terrestre,Draconique,+2 Def.,179 exp.,1 000 000 exp.,72,107,125,125,70,71
Dunaja,Silicobra,0843,/images/thumb/d/dd/Dunaja-EB.png/250px-Dunaja-EB.png,/images/5/5e/Cri_0843_HOME.ogg,Sol,,"2,2","7,6",Expul'Sable,Mue,Voile Sable,50 % femelle; 50 % mâle,255,20,Terrestre,Draconique,+1 Def.,63 exp.,1 000 000 exp.,52,57,75,75,50,46
Dratatin Gigamax,Gigantamax Appletun,0842,/images/thumb/c/c4/Pomdrapi_%28Gigamax%29-EB.png/250px-Pomdrapi_%28Gigamax%29-EB.png,/images/3/3d/Cri_0842_Gigamax_HOME.ogg,Plante,Dragon,"24,0","???,?",Mûrissement,Gloutonnerie,Isograisse,50 % femelle; 50 % mâle,,,,,,,,,,,,,
Fulgudog,Boltund,0836,/images/thumb/6/65/Fulgudog-EB.png/250px-Fulgudog-EB.png,/images/8/8d/Cri_0836_HOME.ogg,Électrik,,"1,0","34,0",Prognathe,,Battant,50 % femelle; 50 % mâle,45,20,Terrestre,,+2 Vitesse,172 exp.,800 000 exp.,69,90,60,60,60,121
Voltoutou,Yamper,0835,/images/thumb/e/eb/Voltoutou-EB.png/250px-Voltoutou-EB.png,/images/a/a0/Cri_0835_HOME.ogg,Électrik,,"0,3","13,5",Ramasse Ball,,Phobique,50 % femelle; 50 % mâle,255,20,Terrestre,,+1 PV,57 exp.,800 000 exp.,59,45,50,50,50,26
Torgamord Gigamax,Gigantamax Drednaw,0834,/images/thumb/f/f3/Torgamord_%28Gigamax%29-EB.png/250px-Torgamord_%28Gigamax%29-EB.png,/images/b/b5/Cri_0834_Gigamax_HOME.ogg,Eau,Roche,"24,0","???,?",Prognathe,Coque Armure,Glissade,50 % femelle; 50 % mâle,,,,,,,,,,,,,
Torgamord,Drednaw,0834,/images/thumb/7/70/Torgamord-EB.png/250px-Torgamord-EB.png,/images/7/74/Cri_0834_HOME.ogg,Eau,Roche,"1,0","115,5",Prognathe,Coque Armure,Glissade,50 % femelle; 50 % mâle,75,20,Monstrueux,Aquatique 1,+2 Attaque,170 exp.,1 000 000 exp.,90,115,90,90,68,74
Khélocrok,Chewtle,0833,/images/thumb/8/8a/Kh%C3%A9locrok-EB.png/250px-Kh%C3%A9locrok-EB.png,/images/9/9c/Cri_0833_HOME.ogg,Eau,,"0,3","8,5",Prognathe,Coque Armure,Glissade,50 % femelle; 50 % mâle,255,20,Monstrueux,Aquatique 1,+1 Attaque,57 exp.,1 000 000 exp.,50,64,50,50,38,44
Moumouflon,Dubwool,0832,/images/thumb/4/4a/Moumouflon-EB.png/250px-Moumouflon-EB.png,/images/1/14/Cri_0832_HOME.ogg,Normal,,"1,3","43,0",Boule de Poils,Impassible,Pare-Balles,50 % femelle; 50 % mâle,127,15,Terrestre,,+2 Défense,172 exp.,1 000 000 exp.,72,80,100,100,90,88
Moumouton,Wooloo,0831,/images/thumb/7/75/Moumouton-EB.png/250px-Moumouton-EB.png,/images/9/92/Cri_0831_HOME.ogg,Normal,,"0,6","6,0",Boule de Poils,Fuite,Pare-Balles,50 % femelle; 50 % mâle,255,15,Terrestre,,+1 Défense,122 exp.,1 000 000 exp.,42,40,55,55,45,48
Blancoton,Eldegoss,0830,/images/thumb/f/f7/Blancoton-EB.png/250px-Blancoton-EB.png,/images/8/82/Cri_0830_HOME.ogg,Plante,,"0,5","2,5",Effilochage,Régé-Force,Pose Spore,50 % femelle; 50 % mâle,75,20,Végétal,,+2 Défense Spéciale,161 exp.,1 000 000 exp.,60,50,90,90,120,60
Tournicoton,Gossifleur,0829,/images/thumb/2/20/Tournicoton-EB.png/250px-Tournicoton-EB.png,/images/2/22/Cri_0829_HOME.ogg,Plante,,"0,4","2,2",Effilochage,Régé-Force,Pose Spore,50 % femelle; 50 % mâle,190,20,Végétal,,+1 Défense Spéciale,50 exp.,1 000 000 exp.,40,40,60,60,60,10
Roublenard,Thievul,0828,/images/thumb/c/c9/Roublenard-EB.png/250px-Roublenard-EB.png,/images/a/a9/Cri_0828_HOME.ogg,Ténèbres,,"1,2","19,9",Fuite,Délestage,Filature,50 % femelle; 50 % mâle,127,15,Terrestre,,+2 Déf Spé,159 exp.,800 000 exp.,70,58,58,58,92,90
Goupilou,Nickit,0827,/images/thumb/b/b4/Goupilou-EB.png/250px-Goupilou-EB.png,/images/0/03/Cri_0827_HOME.ogg,Ténèbres,,"0,6","8,9",Fuite,Délestage,Filature,50 % femelle; 50 % mâle,255,15,Terrestre,,+1 Déf. Spé.,49 exp.,800 000 exp.,40,28,28,28,52,50
Astronelle Gigamax,Gigantamax Orbeetle,0826,/images/thumb/1/1b/Astronelle_%28Gigamax%29-EB.png/250px-Astronelle_%28Gigamax%29-EB.png,/images/6/6b/Cri_0826_Gigamax_HOME.ogg,Insecte,Psy,"14,0","???,?",Essaim,Fouille,Télépathe,50 % femelle; 50 % mâle,,,,,,,,,,,,,
Astronelle,Orbeetle,0826,/images/thumb/a/a3/Astronelle-EB.png/250px-Astronelle-EB.png,/images/8/8b/Cri_0826_HOME.ogg,Insecte,Psy,"0,4","40,8",Essaim,Fouille,Télépathe,50 % femelle; 50 % mâle,45,15,Insectoïde,,+3 Défense Spéciale,253 exp.,1 000 000 exp.,60,45,110,110,120,90
Coléodôme,Dottler,0825,/images/thumb/a/a0/Col%C3%A9od%C3%B4me-EB.png/250px-Col%C3%A9od%C3%B4me-EB.png,/images/0/0d/Cri_0825_HOME.ogg,Insecte,Psy,"0,4","19,5",Essaim,Œil Composé,Télépathe,50 % femelle; 50 % mâle,120,15,Insectoïde,,+2 Défense Spéciale,117 exp.,1 000 000 exp.,50,35,80,80,90,30
Larvadar,Blipbug,0824,/images/e/e5/Larvadar-EB.png,/images/d/dd/Cri_0824_HOME.ogg,Insecte,,"0,4","8,0",Essaim,Œil Composé,Télépathe,50 % femelle; 50 % mâle,255,15,Insectoïde,,+1 Défense Spéciale,36 exp.,1 000 000 exp.,25,20,20,20,45,45
Corvaillus Gigamax,Gigantamax Corviknight,0823,/images/thumb/9/9f/Corvaillus_%28Gigamax%29-EB.png/250px-Corvaillus_%28Gigamax%29-EB.png,/images/e/ed/Cri_0823_Gigamax_HOME.ogg,Vol,Acier,"14,0","???,?",Pression,Tension,Armure Miroir,50 % femelle; 50 % mâle,,,,,,,,,,,,,
Corvaillus,Corviknight,0823,/images/thumb/3/38/Corvaillus-EB.png/250px-Corvaillus-EB.png,/images/0/0b/Cri_0823_HOME.ogg,Vol,Acier,"2,2","75,0",Pression,Tension,Armure Miroir,50 % femelle; 50 % mâle,45,15,Aérien,,+3 Défense,248 exp.,1 059 860 exp.,98,87,105,105,85,67
Bleuseille,Corvisquire,0822,/images/thumb/b/ba/Bleuseille-EB.png/250px-Bleuseille-EB.png,/images/5/5b/Cri_0822_HOME.ogg,Vol,,"0,8","16,0",Regard Vif,Tension,Cœur de Coq,50 % femelle; 50 % mâle,120,15,Aérien,,+2 Vitesse,128 exp.,1 059 860 exp.,68,67,55,55,55,77
Minisange,Rookidee,0821,/images/thumb/7/77/Minisange-EB.png/250px-Minisange-EB.png,/images/5/58/Cri_0821_HOME.ogg,Vol,,"0,2","1,8",Regard Vif,Tension,Cœur de Coq,50 % femelle; 50 % mâle,255,15,Aérien,,+1 Vitesse,49 exp.,1 059 860 exp.,38,47,35,35,35,57
Rongrigou,Greedent,0820,/images/thumb/4/4f/Rongrigou-EB.png/250px-Rongrigou-EB.png,/images/5/5a/Cri_0820_HOME.ogg,Normal,,"0,6","6,0",Bajoues,,Gloutonnerie,50 % femelle; 50 % mâle,90,20,Terrestre,,+2 PV,161 exp.,1 000 000 exp.,120,95,95,95,75,20
Rongourmand,Skwovet,0819,/images/thumb/0/09/Rongourmand-EB.png/250px-Rongourmand-EB.png,/images/c/cc/Cri_0819_HOME.ogg,Normal,,"0,3","2,5",Bajoues,,Gloutonnerie,50 % femelle; 50 % mâle,255,20,Terrestre,,+1 PV,55 exp.,1 000 000 exp.,70,55,55,55,35,25
Lézargus Gigamax,Gigantamax Inteleon,0818,/images/thumb/6/61/L%C3%A9zargus_%28Gigamax%29-EB.png/250px-L%C3%A9zargus_%28Gigamax%29-EB.png,/images/f/fd/Cri_0818_Gigamax_HOME.ogg,Eau,,"40,0","???,?",Torrent,,Sniper,12.5 % femelle; 87.5 % mâle,,,,,,,,,,,,,
Lézargus,Inteleon,0818,/images/thumb/2/22/L%C3%A9zargus-EB.png/250px-L%C3%A9zargus-EB.png,/images/5/54/Cri_0818_HOME.ogg,Eau,,"1,9","45,2",Torrent,,Sniper,12.5 % femelle; 87.5 % mâle,45,20,Aquatique 1,Terrestre,+3 Vitesse,265 exp.,1 059 862 exp.,70,85,65,65,65,120
Arrozard,Drizzile,0817,/images/thumb/e/ee/Arrozard-EB.png/250px-Arrozard-EB.png,/images/4/4a/Cri_0817_HOME.ogg,Eau,,"0,7","11,5",Torrent,,Sniper,12.5 % femelle; 87.5 % mâle,45,20,Aquatique 1,Terrestre,+2 Attaque Spé.,147 exp.,1 059 862 exp.,65,60,55,55,55,90
Larméléon,Sobble,0816,/images/thumb/2/2c/Larm%C3%A9l%C3%A9on-EB.png/250px-Larm%C3%A9l%C3%A9on-EB.png,/images/3/36/Cri_0816_HOME.ogg,Eau,,"0,3","4,0",Torrent,,Sniper,12.5 % femelle; 87.5 % mâle,45,20,Aquatique 1,Terrestre,+1 Vitesse ; +1 Déf. Spé.,62 exp.,1 059 862 exp.,50,40,40,40,40,70
Pyrobut Gigamax,Gigantamax Cinderace,0815,/images/thumb/7/7e/Pyrobut_%28Gigamax%29-EB.png/250px-Pyrobut_%28Gigamax%29-EB.png,/images/9/99/Cri_0815_Gigamax_HOME.ogg,Feu,,"27,0","???,?",Brasier,,Libéro,12.5 % femelle; 87.5 % mâle,,,,,,,,,,,,,
Pyrobut,Cinderace,0815,/images/thumb/6/6d/Pyrobut-EB.png/250px-Pyrobut-EB.png,/images/d/d6/Cri_0815_HOME.ogg,Feu,,"1,4","33,0",Brasier,,Libéro,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,Humanoïde,+3 Vitesse,—,1 059 862 exp.,80,116,75,75,75,119
Lapyro,Raboot,0814,/images/thumb/8/89/Lapyro-EB.png/250px-Lapyro-EB.png,/images/6/68/Cri_0814_HOME.ogg,Feu,,"0,6","9,0",Brasier,,Libéro,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,Humanoïde,+2 Vitesse,—,1 059 862 exp.,65,86,60,60,60,94
Flambino,Scorbunny,0813,/images/thumb/c/c6/Flambino-EB.png/250px-Flambino-EB.png,/images/4/49/Cri_0813_HOME.ogg,Feu,,"0,3","4,5",Brasier,,Libéro,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,Humanoïde,+1 Vitesse,—,1 059 862 exp.,50,71,40,40,40,69
Gorythmic Gigamax,Gigantamax Rillaboom,0812,/images/thumb/4/4e/Gorythmic_%28Gigamax%29-EB.png/250px-Gorythmic_%28Gigamax%29-EB.png,/images/a/ae/Cri_0812_Gigamax_HOME.ogg,Plante,,"28,0","???,?",Engrais,,Créa-Herbe,12.5 % femelle; 87.5 % mâle,,,,,,,,,,,,,
Gorythmic,Rillaboom,0812,/images/thumb/1/1e/Gorythmic-EB.png/250px-Gorythmic-EB.png,/images/8/83/Cri_0812_HOME.ogg,Plante,,"2,1","90,0",Engrais,,Créa-Herbe,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,Végétal,+3 Attaque,256 exp.,1 059 860 exp.,100,125,90,90,70,85
Badabouin,Thwackey,0811,/images/thumb/7/78/Badabouin-EB.png/250px-Badabouin-EB.png,/images/6/69/Cri_0811_HOME.ogg,Plante,,"0,7","14,0",Engrais,,Créa-Herbe,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,Végétal,+2 Attaque,—,1 059 862 exp.,70,85,70,70,60,80
Ouistempo,Grookey,0810,/images/thumb/e/e1/Ouistempo-EB.png/250px-Ouistempo-EB.png,/images/2/29/Cri_0810_HOME.ogg,Plante,,"0,3","5,0",Engrais,,Créa-Herbe,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,Végétal,+1 Attaque,62 exp.,1 059 862 exp.,50,65,50,50,40,65
Melmetal Gigamax,Gigantamax Melmetal,0809,/images/thumb/7/72/Melmetal_%28Gigamax%29-EB.png/250px-Melmetal_%28Gigamax%29-EB.png,/images/3/31/Cri_0809_Gigamax_HOME.ogg,Acier,,"25,0","???,?",Poing de Fer,,,Asexué,,,,,,,,,,,,,
Melmetal,Melmetal,0809,/images/thumb/d/d6/Melmetal-LGPE.png/250px-Melmetal-LGPE.png,/images/a/ae/Cri_0809_HOME.ogg,Acier,,"2,5","800,0",Poing de Fer,,,Asexué,3,120,Inconnu,,+3 Attaque,—,1 250 000 exp.,135,143,143,143,65,34
Meltan,Meltan,0808,/images/thumb/5/57/Meltan-LGPE.png/250px-Meltan-LGPE.png,/images/6/61/Cri_0808_HOME.ogg,Acier,,"0,2","8,0",Magnépiège,,,Asexué,3,120,Inconnu,,+1 Attaque,—,1 250 000 exp.,46,65,65,65,35,34
Zeraora,Zeraora,0807,/images/thumb/6/6c/Zeraora-USUL.png/250px-Zeraora-USUL.png,/images/4/40/Cri_0807_HOME.ogg,Électrik,,"1,5","44,5",Absorbe-Volt,,,Asexué,3,120,Inconnu,,+3 Vitesse,270 exp.,1 250 000 exp.,88,112,75,75,80,143
Pierroteknik,Blacephalon,0806,/images/thumb/b/b4/Pierroteknik-USUL.png/250px-Pierroteknik-USUL.png,/images/3/3f/Cri_0806_HOME.ogg,Feu,Spectre,"1,8","13,0",Boost Chimère,,,Asexué,30,120,Inconnu,,+3 Attaque Spéciale,257 exp.,1 250 000 exp.,53,127,53,53,79,107
Ama-Ama,Stakataka,0805,/images/thumb/b/bb/Ama-Ama-USUL.png/250px-Ama-Ama-USUL.png,/images/f/fc/Cri_0805_HOME.ogg,Roche,Acier,"5,5","820,0",Boost Chimère,,,Asexué,30,120,Inconnu,,+3 Défense,257 exp.,1 250 000 exp.,61,131,211,211,101,13
Mandrillon,Naganadel,0804,/images/thumb/a/a3/Mandrillon-USUL.png/250px-Mandrillon-USUL.png,/images/4/46/Cri_0804_HOME.ogg,Poison,Dragon,"3,6","150,0",Boost Chimère,,,Asexué,45,120,Inconnu,,+3 Att. Spé,243 exp.,1 250 000 exp.,73,73,73,73,73,121
Vémini,Poipole,0803,/images/thumb/4/40/V%C3%A9mini-USUL.png/250px-V%C3%A9mini-USUL.png,/images/3/30/Cri_0803_HOME.ogg,Poison,,"0,6","1,8",Boost Chimère,,,Asexué,45,120,Inconnu,,+1 Défense Spéciale,189 exp.,1 250 000 exp.,67,73,67,67,67,73
Marshadow,Marshadow,0802,/images/thumb/a/a0/Marshadow-SL.png/250px-Marshadow-SL.png,/images/e/ed/Cri_0802_HOME.ogg,Combat,Spectre,"0,7","22,2",Technicien,,,Asexué,3,120,Inconnu,,+2 Attaque ; +1 Vitesse,270 exp. (120,1 250 000 exp.,90,125,80,80,90,125
Magearna,Magearna,0801,/images/thumb/c/cc/Magearna-SL.png/250px-Magearna-SL.png,/images/d/de/Cri_0801_HOME.ogg,Acier,Fée,"1,0","80,5",Animacœur,,,Asexué,3,120,Inconnu,,+3 Attaque Spéciale,270 exp. (120,1 250 000 exp.,80,95,115,115,115,65
Ultra-Necrozma,Ultra Necrozma,0800,/images/thumb/3/33/Ultra-Necrozma-USUL.png/250px-Ultra-Necrozma-USUL.png,/images/d/d8/Cri_0800_Ultra_HOME.ogg,Psy,Dragon,"7,5","230,0",Cérébro-Force,,,Asexué,3,120,Inconnu,,+1 Attaque; +2 Attaque Spéciale,339 exp.,1 250 000 exp.,97,167,97,97,97,129
Necrozma Ailes de l'Aurore,Necrozma Dawn Wings,0800,/images/thumb/1/15/Necrozma_%28Ailes_de_l%27Aurore%29-USUL.png/250px-Necrozma_%28Ailes_de_l%27Aurore%29-USUL.png,/images/3/3b/Cri_0800_Ailes_de_l%27Aurore_HOME.ogg,Psy,Spectre,"4,2","350,0",Prisme-Armure,,,Asexué,3,120,Inconnu,,+3 Attaque Spe,306 exp.,1 250 000 exp.,97,113,109,109,127,77
Necrozma Crinière du Couchant,Necrozma Dusk Mane,0800,/images/thumb/7/7d/Necrozma_%28Crini%C3%A8re_du_Couchant%29-USUL.png/250px-Necrozma_%28Crini%C3%A8re_du_Couchant%29-USUL.png,/images/2/2a/Cri_0800_Crini%C3%A8re_du_Couchant_HOME.ogg,Psy,Acier,"3,8","460,0",Prisme-Armure,,,Asexué,3,120,Inconnu,,+3 Attaque,306 exp.,1 250 000 exp.,97,157,127,127,109,77
Necrozma,Necrozma,0800,/images/thumb/6/68/Necrozma-SL.png/250px-Necrozma-SL.png,/images/5/58/Cri_0800_HOME.ogg,Psy,,"2,4","230,0",Prisme-Armure,,,Asexué,3,120,Inconnu,,+1 Attaque; +2 Attaque Spéciale,270 exp. (120,1 250 000 exp.,97,107,101,101,89,79
Engloutyran,Guzzlord,0799,/images/thumb/a/a2/Engloutyran-SL.png/250px-Engloutyran-SL.png,/images/e/eb/Cri_0799_HOME.ogg,Ténèbres,Dragon,"5,5","888,0",Boost Chimère,,,Asexué,15,120,Inconnu,,+3 PV,257 exp. (114,1 250 000 exp.,223,101,53,53,53,43
Katagami,Kartana,0798,/images/thumb/3/3b/Katagami-SL.png/250px-Katagami-SL.png,/images/c/c9/Cri_0798_HOME.ogg,Plante,Acier,"0,3","0,1",Boost Chimère,,,Asexué,25,120,Inconnu,,+3 Attaque,257 exp. (114,1 250 000 exp.,59,181,131,131,31,109
Bamboiselle,Celesteela,0797,/images/thumb/9/9a/Bamboiselle-SL.png/250px-Bamboiselle-SL.png,/images/b/b5/Cri_0797_HOME.ogg,Acier,Vol,"9,2","999,9",Boost Chimère,,,Asexué,25,120,Inconnu,,+1 Attaque; +1 Défense; +1 Attaque Spéciale,257 exp. (114,1 250 000 exp.,97,101,103,103,101,61
Câblifère,Xurkitree,0796,/images/thumb/5/58/C%C3%A2blif%C3%A8re-SL.png/250px-C%C3%A2blif%C3%A8re-SL.png,/images/2/29/Cri_0796_HOME.ogg,Électrik,,"3,8","100,0",Boost Chimère,,,Asexué,30,120,Inconnu,,+3 Attaque Spéciale,257 exp. (114,1 250 000 exp.,83,89,71,71,71,83
Cancrelove,Pheromosa,0795,/images/thumb/2/2a/Cancrelove-SL.png/250px-Cancrelove-SL.png,/images/8/88/Cri_0795_HOME.ogg,Insecte,Combat,"1,8","25,0",Boost Chimère,,,Asexué,25,120,Inconnu,,+3 Vitesse,257 exp. (114,1 250 000 exp.,71,137,37,37,37,151
Mouscoto,Buzzwole,0794,/images/thumb/a/a4/Mouscoto-SL.png/250px-Mouscoto-SL.png,/images/2/2a/Cri_0794_HOME.ogg,Insecte,Combat,"2,4","333,6",Boost Chimère,,,Asexué,25,120,Inconnu,,+1 Attaque; +2 Défense,257 exp. (114,1 250 000 exp.,107,139,139,139,53,79
Zéroïd,Nihilego,0793,/images/thumb/8/81/Z%C3%A9ro%C3%AFd-SL.png/250px-Z%C3%A9ro%C3%AFd-SL.png,/images/c/ca/Cri_0793_HOME.ogg,Roche,Poison,"1,2","55,5",Boost Chimère,,,Asexué,45,120,Inconnu,,+3 Défense Spéciale,257 exp. (114,1 250 000 exp.,109,53,47,47,131,103
Lunala,Lunala,0792,/images/thumb/d/d7/Lunala-SL.png/250px-Lunala-SL.png,/images/3/37/Cri_0792_HOME.ogg,Psy,Spectre,"4,0","120,0",Spectro-Bouclier,,,Asexué,45,120,Inconnu,,+3 Attaque Spéciale,306 exp. (136,1 250 000 exp.,137,113,89,89,107,97
Solgaleo,Solgaleo,0791,/images/thumb/a/a7/Solgaleo-SL.png/250px-Solgaleo-SL.png,/images/1/15/Cri_0791_HOME.ogg,Psy,Acier,"3,4","230,0",Métallo-Garde,,,Asexué,45,120,Inconnu,,+3 Attaque,306 exp. (136,1 250 000 exp.,137,137,107,107,89,97
Cosmovum,Cosmoem,0790,/images/thumb/1/12/Cosmovum-SL.png/250px-Cosmovum-SL.png,/images/4/46/Cri_0790_HOME.ogg,Psy,,"0,1","999,9",Fermeté,,,Asexué,45,120,Inconnu,,"+1 Défense, +1 Défense Spéciale",140 exp. (80,1 250 000 exp.,43,29,131,131,131,37
Cosmog,Cosmog,0789,/images/thumb/6/6f/Cosmog-SL.png/250px-Cosmog-SL.png,/images/4/4f/Cri_0789_HOME.ogg,Psy,,"0,2","0,1",Inconscient,,,Asexué,45,120,Inconnu,,+1 PV,40 exp.,1 250 000 exp.,43,29,31,31,31,37
Tokopisco,Tapu Fini,0788,/images/thumb/e/ec/Tokopisco-SL.png/250px-Tokopisco-SL.png,/images/2/21/Cri_0788_HOME.ogg,Eau,Fée,"1,3","21,2",Créa-Brume,,Télépathe,Asexué,3,15,Inconnu,,+3 Défense Spéciale,257 exp. (114,1 250 000 exp.,70,75,115,115,130,85
Tokotoro,Tapu Bulu,0787,/images/thumb/b/bb/Tokotoro-SL.png/250px-Tokotoro-SL.png,/images/7/7a/Cri_0787_HOME.ogg,Plante,Fée,"1,9","45,5",Créa-Herbe,,Télépathe,Asexué,3,15,Inconnu,,+3 Attaque,257 exp. (114,1 250 000 exp.,70,130,115,115,95,75
Tokopiyon,Tapu Lele,0786,/images/thumb/c/c4/Tokopiyon-SL.png/250px-Tokopiyon-SL.png,/images/9/9b/Cri_0786_HOME.ogg,Psy,Fée,"1,2","18,6",Créa-Psy,,Télépathe,Asexué,3,15,Inconnu,,+3 Attaque Spéciale,257 exp. (114,1 250 000 exp.,70,85,75,75,115,95
Tokorico,Tapu Koko,0785,/images/thumb/3/32/Tokorico-SL.png/250px-Tokorico-SL.png,/images/2/25/Cri_0785_HOME.ogg,Électrik,Fée,"1,8","20,5",Créa-Élec,,Télépathe,Asexué,3,15,Inconnu,,+3 Vitesse,257 exp. (114,1 250 000 exp.,70,115,85,85,75,130
Ékaïser,Kommo-o,0784,/images/thumb/e/e5/%C3%89ka%C3%AFser-SL.png/250px-%C3%89ka%C3%AFser-SL.png,/images/f/f4/Cri_0784_HOME.ogg,Dragon,Combat,"1,6","78,2",Pare-Balles,Anti-Bruit,Envelocape,50 % femelle; 50 % mâle,45,40,Draconique,,+3 Défense,270 exp.,1 250 000 exp.,75,110,125,125,105,85
Écaïd,Hakamo-o,0783,/images/thumb/3/3e/%C3%89ca%C3%AFd-SL.png/250px-%C3%89ca%C3%AFd-SL.png,/images/5/52/Cri_0783_HOME.ogg,Dragon,Combat,"1,2","47,0",Pare-Balles,Anti-Bruit,Envelocape,50 % femelle; 50 % mâle,45,40,Draconique,,+2 Défense,147 exp.,1 250 000 exp.,55,75,90,90,70,65
Bébécaille,Jangmo-o,0782,/images/thumb/e/e0/B%C3%A9b%C3%A9caille-SL.png/250px-B%C3%A9b%C3%A9caille-SL.png,/images/9/99/Cri_0782_HOME.ogg,Dragon,,"0,6","29,7",Pare-Balles,Anti-Bruit,Envelocape,50 % femelle; 50 % mâle,45,40,Draconique,,+1 Défense,60 exp.,1 250 000 exp.,45,55,65,65,45,45
Sinistrail,Dhelmise,0781,/images/thumb/1/11/Sinistrail-SL.png/250px-Sinistrail-SL.png,/images/d/d3/Cri_0781_HOME.ogg,Spectre,Plante,"3,9","210,0",Expert Acier,,,Asexué,25,25,Minéral,,+2 Attaque,181 exp.,1 000 000 exp.,70,131,100,100,90,40
Draïeul,Drampa,0780,/images/thumb/c/c7/Dra%C3%AFeul-SL.png/250px-Dra%C3%AFeul-SL.png,/images/c/ce/Cri_0780_HOME.ogg,Normal,Dragon,"3,0","185,0",Folle Furie,Herbivore,Ciel Gris,50 % femelle; 50 % mâle,70,20,Monstrueux,Draconique,+2 Attaque Spéciale,170 exp.,1 000 000 exp.,78,60,85,85,91,36
Denticrisse,Bruxish,0779,/images/thumb/d/d1/Denticrisse-SL.png/250px-Denticrisse-SL.png,/images/7/71/Cri_0779_HOME.ogg,Eau,Psy,"0,9","19,0",Corps Coloré,Prognathe,Peau Miracle,50 % femelle; 50 % mâle,80,15,Aquatique 2,,+2 Attaque,166 exp.,1 000 000 exp.,68,105,70,70,70,92
